year,quarter,province,origin,total_spend,quarterly_arrivals,spend_per_arrival,period,covid_period,low_reliability
2018,4,Quebec,Japan,25941000.0,37464.0,692.424727738629,2018-Q4,False,False
2018,4,British Columbia,Mexico,148914000.0,186564.0,798.1925773461118,2018-Q4,False,False
2019,3,Newfoundland and Labrador,France,13614000.0,3174.0,4289.22495274102,2019-Q3,False,False
2019,3,New Brunswick,India,4707000.0,954.0,4933.962264150943,2019-Q3,False,False
2019,4,Saskatchewan,China,12213000.0,216.0,56541.666666666664,2019-Q4,False,False
2018,4,Quebec,India,16899000.0,11994.0,1408.9544772386193,2018-Q4,False,False
2018,4,Ontario,China,578763000.0,382770.0,1512.0385610157537,2018-Q4,False,False
2018,4,Ontario,Australia,84414000.0,92886.0,908.7914217427815,2018-Q4,False,False
2020,1,Nova Scotia,Japan,2454000.0,162.0,15148.148148148148,2020-Q1,True,False
2019,1,New Brunswick,Japan,3384000.0,126.0,26857.14285714286,2019-Q1,False,False
2019,1,Alberta,Mexico,21942000.0,15204.0,1443.1728492501973,2019-Q1,False,False
2019,2,New Brunswick,United Kingdom,10842000.0,5574.0,1945.102260495156,2019-Q2,False,False
2019,2,Yukon,Germany,10599000.0,20262.0,523.0974237488896,2019-Q2,False,True
2019,3,Ontario,United States,4667037072.0,29131026.0,160.2084688675229,2019-Q3,False,False
2019,4,New Brunswick,Australia,3693000.0,4878.0,757.0725707257072,2019-Q4,False,False
2020,1,Newfoundland and Labrador,United Kingdom,4695000.0,3540.0,1326.2711864406779,2020-Q1,True,False
2020,1,Ontario,Australia,36651000.0,43848.0,835.8648056923919,2020-Q1,True,False
2022,1,Manitoba,United States,26985000.0,110574.0,244.0447121384774,2022-Q1,True,False
2018,1,Newfoundland and Labrador,Japan,2709000.0,30.0,90300.0,2018-Q1,False,False
2018,1,Saskatchewan,China,7839000.0,174.0,45051.724137931036,2018-Q1,False,False
2018,1,Saskatchewan,Japan,2925000.0,66.0,44318.181818181816,2018-Q1,False,False
2018,1,Yukon,China,3477000.0,66.0,52681.818181818184,2018-Q1,False,True
2018,3,British Columbia,China,986616000.0,943344.0,1045.870859410777,2018-Q3,False,False
2019,1,Quebec,Australia,28380000.0,12588.0,2254.528122020972,2019-Q1,False,False
2019,2,Quebec,India,36591000.0,26154.0,1399.0594172975452,2019-Q2,False,False
2019,2,Manitoba,Germany,8151000.0,2262.0,3603.448275862069,2019-Q2,False,False
2019,3,Nunavut,United Kingdom,2484000.0,1416.0,1754.2372881355932,2019-Q3,False,True
2020,1,Manitoba,Japan,2544000.0,774.0,3286.8217054263564,2020-Q1,True,False
2018,2,Alberta,United Kingdom,226287000.0,133950.0,1689.3393057110861,2018-Q2,False,False
2018,3,Nova Scotia,India,6453000.0,1290.0,5002.325581395349,2018-Q3,False,False
2018,3,Nova Scotia,Australia,24249000.0,12264.0,1977.2504892367906,2018-Q3,False,False
2018,3,Ontario,United States,4491011952.0,28567932.0,157.20465702592682,2018-Q3,False,False
2018,4,New Brunswick,Australia,3798000.0,1506.0,2521.9123505976095,2018-Q4,False,False
2020,1,Nova Scotia,United States,15633000.0,23418.0,667.5634127594159,2020-Q1,True,False
2021,2,Newfoundland and Labrador,United States,2601000.0,4998.0,520.4081632653061,2021-Q2,True,False
2021,4,Quebec,United States,448944000.0,1218066.0,368.57116116860664,2021-Q4,True,False
2022,1,Quebec,United States,336051000.0,728418.0,461.3436241279046,2022-Q1,True,False
2018,1,Saskatchewan,United Kingdom,5040000.0,798.0,6315.789473684211,2018-Q1,False,False
2018,2,Newfoundland and Labrador,Japan,4803000.0,36.0,133416.66666666666,2018-Q2,False,False
2018,2,Quebec,United States,1246475976.0,4028736.0,309.39629104513176,2018-Q2,False,False
2018,3,Manitoba,France,8067000.0,1092.0,7387.3626373626375,2018-Q3,False,False
2018,3,Alberta,Germany,188175000.0,92478.0,2034.808278725751,2018-Q3,False,False
2018,3,Nunavut,United States,11409000.0,6504.0,1754.1512915129151,2018-Q3,False,True
2019,2,Alberta,United States,877137000.0,1390836.0,630.6545128253798,2019-Q2,False,False
2020,1,Ontario,United Kingdom,90027000.0,255438.0,352.44168839405256,2020-Q1,True,False
2023,3,Prince Edward Island,United States,200751000.0,14946.0,13431.754315535929,2023-Q3,False,True
2019,1,Ontario,Australia,71016000.0,51060.0,1390.834312573443,2019-Q1,False,False
2019,3,Alberta,Germany,193854000.0,102006.0,1900.4176224927946,2019-Q3,False,False
2018,3,Newfoundland and Labrador,China,9882000.0,414.0,23869.565217391304,2018-Q3,False,False
2018,4,Saskatchewan,United Kingdom,7974000.0,330.0,24163.636363636364,2018-Q4,False,False
2019,1,British Columbia,France,51357000.0,25500.0,2014.0,2019-Q1,False,False
2019,3,Nova Scotia,Mexico,7041000.0,3210.0,2193.457943925234,2019-Q3,False,False
2019,3,Quebec,United Kingdom,213927000.0,169920.0,1258.986581920904,2019-Q3,False,False
2019,3,Quebec,Germany,177714000.0,177666.0,1000.2701698693053,2019-Q3,False,False
2020,2,New Brunswick,United States,4743000.0,52650.0,90.08547008547009,2020-Q2,True,False
2023,3,Quebec,United States,2300118048.0,4867698.0,472.5268593080343,2023-Q3,False,False
2023,4,Alberta,United States,605385000.0,861960.0,702.3353751914242,2023-Q4,False,False
2018,1,Ontario,India,48771000.0,128442.0,379.71224365861633,2018-Q1,False,False
2018,3,New Brunswick,Australia,9063000.0,4392.0,2063.5245901639346,2018-Q3,False,False
2018,4,Nova Scotia,United Kingdom,12198000.0,24000.0,508.25,2018-Q4,False,False
